сategory;product;protein;fat;carbohydrates
водоросли;Водоросли вакаме (ундария перистая) сырые;3.0;0.6;9.3
водоросли;Ламинария (морская капуста) сушеная;31.5;21.8;38.1
водоросли;Ламинария (морская капуста) сырая;1.7;0.6;8.9
водоросли;Спирулина сушеная;57.5;7.7;23.4
грибы;Белый гриб;3.7;1.7;1.1
грибы;Белый гриб жареный;4.6;11.5;10.7
грибы;Белый гриб маринованный;3.0;0.5;2.0
грибы;Белый гриб сушеный;26.9;10.4;20.0
грибы;Белый гриб, быстро обжаренный (стир-фрай);3.6;0.3;2.2
грибы;Белый гриб, вареный, без соли;2.2;0.5;3.1
грибы;Белый гриб, вареный, с солью;2.2;0.5;3.1
грибы;Белый гриб, выращенный под ультрафиолетом;3.1;0.3;2.3
грибы;Белый гриб, приготовленный в микроволновке;3.9;0.5;3.5
грибы;Белый гриб, сырой;3.4;1.0;1.7
грибы;Валуи;3.7;1.7;1.1
грибы;Вешенки;2.9;0.2;4.1
грибы;Вешенки свежие;2.5;0.3;6.5
грибы;Грибное ассорти быстрозамороженное;2.2;0.8;0.7
грибы;Грибы белые свежие;3.7;1.7;1.1
грибы;Грибы белые сушеные;30.3;14.3;9.0
грибы;Грибы жареные (сушеные);11.3;24.4;1.2
грибы;Грибы жареные в сметанном соусе;6.7;14.5;3.5
грибы;Грибы жареные с картофелем;3.9;5.2;12.7
грибы;Грибы, запеченные в сметанном соусе;6.5;16.6;3.2
грибы;Грибы, консервированные, содержимое без жидкости;1.9;0.3;2.7
грибы;Грибы, тушенные с картофелем;4.0;6.4;10.7
грибы;Грузди свежие;1.8;0.6;0.7
грибы;Дождевики;4.3;1.0;1.0
грибы;Еноки;2.7;0.4;0.2
грибы;Лисички;1.5;0.9;1.5
грибы;Лисички свежие;1.6;1.1;2.2
грибы;Лисички сушеные;22.3;7.6;24.2
грибы;Маслята;2.4;0.7;0.5
грибы;Маслята свежие;2.4;0.7;1.7
грибы;Морской гриб;1.9;0.1;26.5
грибы;Опенок;2.2;1.2;0.5
грибы;Опята;2.2;1.2;0.5
грибы;Опята маринованные;1.8;1.0;0.4
грибы;Опята свежие;2.2;1.2;0.5
грибы;Подберезовик;2.3;0.9;1.2
грибы;Подберезовик сушеный;23.5;9.2;14.3
грибы;Подберезовики;2.1;0.8;1.2
грибы;Подберезовики свежие;2.3;0.9;3.7
грибы;Подберезовики сушеные;23.5;9.2;14.3
грибы;Подосиновик;3.3;0.5;1.2
грибы;Подосиновик сушеный;35.4;5.4;12.9
грибы;Подосиновики;3.3;0.5;1.2
грибы;Подосиновики свежие;4.1;0.7;1.8
грибы;Подосиновики сушеные;35.4;5.4;33.2
грибы;Польский гриб;1.7;0.7;1.5
грибы;Портобелло, грибы;2.1;0.4;2.6
грибы;Портобелло, грибы приготовленные на гриле;3.3;0.6;2.2
грибы;Портобелло, грибы, выращенные под ультрафиолетом;2.1;0.4;2.6
грибы;Портобелло, грибы, выращенные под ультрафиолетом, приготовленные на гриле;3.3;0.6;2.2
грибы;Рыжик;1.9;0.8;0.5
грибы;Рыжики свежие;1.9;0.8;2.7
грибы;Сморчки;2.2;0.4;3.0
грибы;Соломенные грибы, консервированные, содержимое без жидкости;3.8;0.7;2.1
грибы;Сыроежки;1.7;0.7;1.5
грибы;Трюфели свежие;5.9;0.5;5.3
грибы;Чернушка;0.0;0.0;0.0
грибы;Чернушки;1.5;0.3;0.1
